,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Finish_Time_ms,Track_Condition,Track_Temp,Humidity,Position,Track,Trk Length,Team_Name,Nationality
83,honda,1068.0,10.0,6.0,2011,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2564511.0,dry,20.0,31.0,4,qat - losail international circuit,5.4,repsol honda team,ita
84,honda,674.0,9.0,5.0,2011,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2658169.0,dry,29.0,35.0,2,fra - le mans,4.2,repsol honda team,ita
85,honda,1047.0,8.0,6.0,2011,12.0,164.4,111.0,14.0,andrea dovizioso,12.598360655737705,2605034.0,dry,25.0,49.0,4,cat - circuit de barcelona-catalunya,4.6,repsol honda team,ita
86,honda,487.0,12.0,6.0,2011,14.0,173.1,118.1,18.0,andrea dovizioso,12.598360655737705,2532165.0,dry,16.0,82.0,3,ned - tt circuit assen,4.5,repsol honda team,ita
87,honda,700.0,3.0,10.0,2011,12.0,160.6,110.1,13.0,andrea dovizioso,12.598360655737705,2482995.0,dry,29.0,49.0,4,ger - sachsenring,3.7,repsol honda team,ita
88,honda,636.0,8.0,6.0,2011,15.0,165.5,113.5,14.0,andrea dovizioso,12.598360655737705,2603328.0,dry,37.0,37.0,2,cze - automotodrom brno,5.4,repsol honda team,ita
89,honda,530.0,10.0,6.0,2011,14.0,162.6,114.1,16.0,andrea dovizioso,12.598360655737705,2669267.0,dry,35.0,62.0,5,rsm - misano world circuit marco simoncelli,4.2,repsol honda team,ita
90,honda,762.0,8.0,6.0,2011,15.0,162.2,115.2,14.0,andrea dovizioso,12.598360655737705,2591172.0,dry,29.0,55.0,5,jpn - twin ring motegi,4.8,repsol honda team,ita
91,honda,876.0,5.0,9.0,2011,12.0,139.8,108.1,14.0,andrea dovizioso,12.598360655737705,2904581.0,wet,16.0,49.0,3,val - circuit ricardo tormo,4.0,repsol honda team,ita
92,honda,1068.0,10.0,6.0,2010,12.0,166.6,118.4,16.0,andrea dovizioso,12.598360655737705,2571964.0,dry,26.0,30.0,3,qat - losail international circuit,5.4,repsol honda team,ita
93,honda,607.0,8.0,6.0,2010,11.0,161.2,110.6,14.0,andrea dovizioso,12.598360655737705,2740682.0,dry,44.0,30.0,6,spa - circuito de jerez,4.4,repsol honda team,ita
94,honda,674.0,9.0,5.0,2010,13.0,161.8,113.0,14.0,andrea dovizioso,12.598360655737705,2676986.0,dry,51.0,21.0,3,fra - le mans,4.2,repsol honda team,ita
