,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms
105,24,1068.0,10.0,6.0,2008,12.0,166.6,118.4,16.0,31,12.875862068965517,0,19.0,58.0,10,2569875.0
106,24,607.0,8.0,6.0,2008,11.0,161.2,110.6,14.0,31,12.875862068965517,0,23.0,26.0,12,2763570.0
107,24,674.0,9.0,5.0,2008,13.0,161.8,113.0,14.0,31,12.875862068965517,0,26.0,38.0,5,2693194.0
108,24,1047.0,8.0,6.0,2008,12.0,164.4,111.0,14.0,31,12.875862068965517,0,39.0,34.0,3,2593068.0
109,24,487.0,12.0,6.0,2008,14.0,173.1,118.1,18.0,31,12.875862068965517,0,24.0,62.0,9,2559683.0
110,24,700.0,3.0,10.0,2008,12.0,160.6,110.1,13.0,31,12.875862068965517,1,17.0,82.0,6,2892079.0
111,24,636.0,8.0,6.0,2008,15.0,165.5,113.5,14.0,31,12.875862068965517,0,29.0,33.0,4,2647663.0
112,24,530.0,10.0,6.0,2008,14.0,162.6,114.1,16.0,31,12.875862068965517,0,48.0,29.0,11,2709475.0
113,24,762.0,8.0,6.0,2008,15.0,162.2,115.2,14.0,31,12.875862068965517,0,23.0,51.0,7,2615818.0
114,24,920.0,10.0,5.0,2008,16.0,164.0,110.9,15.0,31,12.875862068965517,0,42.0,25.0,8,2594543.0
115,24,876.0,5.0,9.0,2008,12.0,139.8,108.1,14.0,31,12.875862068965517,0,34.0,41.0,13,2830273.0
145,24,1068.0,10.0,6.0,2018,12.0,166.6,118.4,16.0,270,19.45045045045045,0,23.0,46.0,10,2554681.0
146,24,1076.0,9.0,5.0,2018,16.0,172.7,120.2,14.0,270,19.45045045045045,1,23.0,94.0,2,2480202.0
147,24,1200.0,9.0,11.0,2018,15.0,158.4,110.3,20.0,270,19.45045045045045,0,35.0,45.0,0,2512002.0
148,24,607.0,8.0,6.0,2018,11.0,161.2,110.6,14.0,270,19.45045045045045,0,40.0,41.0,12,2499678.0
149,24,674.0,9.0,5.0,2018,13.0,161.8,113.0,14.0,270,19.45045045045045,0,45.0,41.0,5,2509773.0
150,24,1047.0,8.0,6.0,2018,12.0,164.4,111.0,14.0,270,19.45045045045045,0,45.0,51.0,3,2418045.0
151,24,487.0,12.0,6.0,2018,14.0,173.1,118.1,18.0,270,19.45045045045045,0,40.0,32.0,9,2473863.0
152,24,700.0,3.0,10.0,2018,12.0,160.6,110.1,13.0,270,19.45045045045045,0,48.0,48.0,6,2465019.0
153,24,636.0,8.0,6.0,2018,15.0,165.5,113.5,14.0,270,19.45045045045045,0,41.0,44.0,4,2468096.0
154,24,530.0,10.0,6.0,2018,14.0,162.6,114.1,16.0,270,19.45045045045045,0,41.0,57.0,11,2528248.0
155,24,968.0,7.0,10.0,2018,15.0,167.0,116.8,17.0,270,19.45045045045045,0,45.0,36.0,1,2515949.0
156,24,762.0,8.0,6.0,2018,15.0,162.2,115.2,14.0,270,19.45045045045045,0,35.0,34.0,7,2556438.0
157,24,920.0,10.0,5.0,2018,16.0,164.0,110.9,15.0,270,19.45045045045045,0,53.0,55.0,8,2432372.0
158,24,1068.0,10.0,6.0,2017,12.0,166.6,118.4,16.0,270,19.45045045045045,0,22.0,96.0,10,2346744.0
159,24,1200.0,9.0,11.0,2017,15.0,158.4,110.3,20.0,270,19.45045045045045,0,40.0,31.0,0,2638770.0
160,24,607.0,8.0,6.0,2017,11.0,161.2,110.6,14.0,270,19.45045045045045,0,41.0,25.0,12,2732963.0
161,24,1047.0,8.0,6.0,2017,12.0,164.4,111.0,14.0,270,19.45045045045045,0,54.0,20.0,3,2685062.0
162,24,487.0,12.0,6.0,2017,14.0,173.1,118.1,18.0,270,19.45045045045045,1,25.0,76.0,9,2506350.0
163,24,700.0,3.0,10.0,2017,12.0,160.6,110.1,13.0,270,19.45045045045045,0,26.0,65.0,6,2459525.0
164,24,636.0,8.0,6.0,2017,15.0,165.5,113.5,14.0,270,19.45045045045045,1,24.0,70.0,4,2655974.0
165,24,530.0,10.0,6.0,2017,14.0,162.6,114.1,16.0,270,19.45045045045045,1,19.0,97.0,11,3041565.0
166,24,968.0,7.0,10.0,2017,15.0,167.0,116.8,17.0,270,19.45045045045045,0,40.0,44.0,1,2526816.0
167,24,762.0,8.0,6.0,2017,15.0,162.2,115.2,14.0,270,19.45045045045045,1,15.0,97.0,7,2834485.0
168,24,920.0,10.0,5.0,2017,16.0,164.0,110.9,15.0,270,19.45045045045045,0,33.0,89.0,8,2709260.0
169,24,876.0,5.0,9.0,2017,12.0,139.8,108.1,14.0,270,19.45045045045045,0,26.0,22.0,13,2778986.0
170,24,1068.0,10.0,6.0,2016,12.0,166.6,118.4,16.0,270,19.45045045045045,0,23.0,71.0,10,2550739.0
171,24,1076.0,9.0,5.0,2016,16.0,172.7,120.2,14.0,270,19.45045045045045,0,30.0,89.0,2,2053628.0
172,24,1200.0,9.0,11.0,2016,15.0,158.4,110.3,20.0,270,19.45045045045045,0,34.0,62.0,0,2637945.0
173,24,607.0,8.0,6.0,2016,11.0,161.2,110.6,14.0,270,19.45045045045045,0,40.0,37.0,12,2735921.0
174,24,1047.0,8.0,6.0,2016,12.0,164.4,111.0,14.0,270,19.45045045045045,0,48.0,44.0,3,2680241.0
175,24,700.0,3.0,10.0,2016,12.0,160.6,110.1,13.0,270,19.45045045045045,1,24.0,86.0,6,2823239.0
176,24,636.0,8.0,6.0,2016,15.0,165.5,113.5,14.0,270,19.45045045045045,1,18.0,100.0,4,2873877.0
177,24,530.0,10.0,6.0,2016,14.0,162.6,114.1,16.0,270,19.45045045045045,0,43.0,59.0,11,2633093.0
178,24,968.0,7.0,10.0,2016,15.0,167.0,116.8,17.0,270,19.45045045045045,0,36.0,58.0,1,2517678.0
179,24,762.0,8.0,6.0,2016,15.0,162.2,115.2,14.0,270,19.45045045045045,0,36.0,37.0,7,2554610.0
